Row,Type,Size,Charge,Mass,m/z,RT
P_Cluster_1750,2D PEAK CLUSTER,2,1,306.183535820,307.190812287,7.56409696438
P_Cluster_1751,2D PEAK CLUSTER,2,1,306.183743111,307.191019578,7.86635164299
P_Cluster_1752,2D PEAK CLUSTER,2,1,306.198003595,307.205280062,7.97899707061
P_Cluster_1753,2D PEAK CLUSTER,2,1,306.255694102,307.262970569,6.07041668102
P_Cluster_1754,2D PEAK CLUSTER,2,1,306.659159836,307.666436303,3.41603201674
P_Cluster_1755,2D PEAK CLUSTER,2,1,307.084154222,308.091430688,1.74263518259
P_Cluster_1756,2D PEAK CLUSTER,2,1,307.126780172,308.134056639,2.92866234385
P_Cluster_1757,2D PEAK CLUSTER,2,1,307.145122067,308.152398534,8.66715822736
P_Cluster_1758,2D PEAK CLUSTER,2,1,307.214807959,308.222084426,9.05308417249
P_Cluster_1759,2D PEAK CLUSTER,2,1,308.198609441,309.205885908,7.02968152250
P_Cluster_1760,2D PEAK CLUSTER,2,1,308.198407769,309.205684236,7.80674960801
P_Cluster_1761,2D PEAK CLUSTER,2,1,308.197881405,309.205157872,8.99579960456
P_Cluster_1762,2D PEAK CLUSTER,2,1,308.198952957,309.206229424,6.20199059104
P_Cluster_1763,2D PEAK CLUSTER,2,1,308.235104896,309.242381363,11.0773853894
P_Cluster_1764,2D PEAK CLUSTER,2,1,308.282973643,309.290250110,8.22990176783
P_Cluster_1765,2D PEAK CLUSTER,2,1,309.142019034,310.149295500,8.66659955371
P_Cluster_1766,2D PEAK CLUSTER,3,1,309.157478697,310.164755164,4.13114313563
P_Cluster_1767,2D PEAK CLUSTER,2,1,309.227554945,310.234831412,8.84772033952
P_Cluster_1768,2D PEAK CLUSTER,2,1,309.230628150,310.237904617,9.55894520380
P_Cluster_1769,2D PEAK CLUSTER,2,1,309.230567609,310.237844076,9.73980289031
P_Cluster_1770,2D PEAK CLUSTER,2,1,310.116781014,311.124057481,2.74150759870
P_Cluster_1771,2D PEAK CLUSTER,2,1,310.120072993,311.127349460,4.70501320101
P_Cluster_1772,2D PEAK CLUSTER,2,1,310.139605827,311.146882293,6.26914503952
P_Cluster_1773,2D PEAK CLUSTER,2,1,310.156612954,311.163889421,9.66181531363
P_Cluster_1774,2D PEAK CLUSTER,2,1,310.213938677,311.221215144,8.09771411903
P_Cluster_1775,2D PEAK CLUSTER,2,1,310.213803677,311.221080144,8.66416107134
P_Cluster_1776,2D PEAK CLUSTER,2,1,310.214236320,311.221512787,9.23137508103
P_Cluster_1777,2D PEAK CLUSTER,2,1,310.213917109,311.221193576,6.45222709303
P_Cluster_1778,2D PEAK CLUSTER,2,1,310.250937967,311.258214434,10.5532972155
P_Cluster_1779,2D PEAK CLUSTER,2,1,310.250537983,311.257814450,9.34858124222
P_Cluster_1780,2D PEAK CLUSTER,2,1,310.298823993,311.306100460,8.76045812376
P_Cluster_1781,2D PEAK CLUSTER,2,1,310.334870369,311.342146836,10.6658942564
P_Cluster_1782,2D PEAK CLUSTER,2,1,312.072290698,313.079567164,4.91182612263
P_Cluster_1783,2D PEAK CLUSTER,2,1,312.123942273,313.131218740,7.83304735292
P_Cluster_1784,2D PEAK CLUSTER,2,1,312.230186962,313.237463429,8.92135414001
P_Cluster_1785,2D PEAK CLUSTER,3,1,312.230081974,313.237358441,7.49395822770
P_Cluster_1786,2D PEAK CLUSTER,2,1,312.229911086,313.237187553,8.12551642169
P_Cluster_1787,2D PEAK CLUSTER,2,1,312.265964307,313.273240774,9.80385705780
P_Cluster_1788,2D PEAK CLUSTER,2,1,312.266320326,313.273596792,11.7893761336
P_Cluster_1789,2D PEAK CLUSTER,2,1,312.313940215,313.321216682,9.40449619762
P_Cluster_1790,2D PEAK CLUSTER,2,1,312.350558293,313.357834760,8.10291761216
P_Cluster_1791,2D PEAK CLUSTER,2,1,314.151239990,315.158516457,7.19637061709
P_Cluster_1792,2D PEAK CLUSTER,2,1,314.185743868,315.193020335,9.45053705125
P_Cluster_1793,2D PEAK CLUSTER,2,1,314.185232150,315.192508616,8.96697305251
P_Cluster_1794,2D PEAK CLUSTER,3,1,315.276793685,316.284070152,10.1056865582
P_Cluster_1795,2D PEAK CLUSTER,2,1,315.277420904,316.284697371,8.26558541627
P_Cluster_1796,2D PEAK CLUSTER,2,1,315.277464990,316.284741457,8.39396165996
P_Cluster_1797,2D PEAK CLUSTER,2,1,315.313685598,316.320962065,10.0799784821
P_Cluster_1798,2D PEAK CLUSTER,2,1,316.094114026,317.101390493,7.98131175959
P_Cluster_1799,2D PEAK CLUSTER,2,1,316.094840203,317.102116670,8.16748679189
P_Cluster_1800,2D PEAK CLUSTER,2,1,316.113533319,317.120809786,2.68150522715
P_Cluster_1801,2D PEAK CLUSTER,2,1,316.113227300,317.120503767,3.82592858405
P_Cluster_1802,2D PEAK CLUSTER,2,1,316.201269254,317.208545721,9.93566457802
P_Cluster_1803,2D PEAK CLUSTER,2,1,316.201297544,317.208574010,9.19982151356
P_Cluster_1804,2D PEAK CLUSTER,2,1,316.203430816,317.210707283,8.19815606757
P_Cluster_1805,2D PEAK CLUSTER,2,1,316.261411730,317.268688197,11.0569829200
P_Cluster_1806,2D PEAK CLUSTER,2,1,316.261325235,317.268601702,11.2197536410
P_Cluster_1807,2D PEAK CLUSTER,2,1,317.195535415,318.202811882,3.77810203936
P_Cluster_1808,2D PEAK CLUSTER,2,1,317.194941563,318.202218030,3.96807051271
P_Cluster_1809,2D PEAK CLUSTER,2,1,317.272189912,318.279466379,7.16929436999
P_Cluster_1810,2D PEAK CLUSTER,3,1,317.292884383,318.300160850,8.75047246607
P_Cluster_1811,2D PEAK CLUSTER,2,1,317.308273156,318.315549622,9.60923988362
P_Cluster_1812,2D PEAK CLUSTER,2,1,318.003491522,319.010767988,2.26953115875
P_Cluster_1813,2D PEAK CLUSTER,3,1,318.128550576,319.135827043,2.90726342784
P_Cluster_1814,2D PEAK CLUSTER,2,1,318.217259699,319.224536166,9.50281234183
P_Cluster_1815,2D PEAK CLUSTER,2,1,318.217151825,319.224428292,10.3321959729
P_Cluster_1816,2D PEAK CLUSTER,3,1,319.287686427,320.294962894,6.93187590542
P_Cluster_1817,2D PEAK CLUSTER,3,1,319.287727171,320.295003637,7.16889894402
P_Cluster_1818,2D PEAK CLUSTER,2,1,319.287090025,320.294366491,8.97797868346
